"Topic","Q#","Difficulty","Question","Option A","Option B","Option C","Option D","Correct (1-4)","Correct Answer Text","Explanation"
"psych-nursing-mood","5","medium","A patient with bipolar disorder is in a manic episode. The nurse observes the patient has not slept for 48 hours. The PRIORITY nursing intervention is:","Encourage the patient to rest and offer warm milk","Notify the physician to reassess PRN sleep/sedative medication","Schedule group activities to tire the patient","Leave the patient alone as they appear energetic","2","Notify the physician to reassess PRN sleep/sedative medication","Prolonged sleep deprivation in mania can escalate severity and risk. The nurse must notify the prescriber to reassess medications. Sleep deprivation is both a symptom and a driver of mania."
"psych-nursing-mood","6","easy","Which activity is MOST therapeutic for a depressed patient with low energy?","Full-day group outing with multiple activities","A brief, structured one-on-one walk with the nurse","Watching television in the room","Waiting for the patient to initiate activities independently","2","A brief, structured one-on-one walk with the nurse","Brief, structured activity with nurse presence provides social support and gentle activation without overwhelming the patient. Behavioural activation in depression starts with small achievable activities."
"psych-nursing-mood","7","easy","A patient on an MAOI asks about dietary restrictions. Which food should be AVOIDED?","Fresh chicken","Aged cheddar cheese","Boiled eggs","Fresh orange juice","2","Aged cheddar cheese","Aged/fermented foods (aged cheese, red wine, cured meats, fermented soy) are high in tyramine. MAOIs block tyramine metabolism → hypertensive crisis. Fresh, unprocessed foods are safe."
"psych-nursing-mood","8","easy","For a patient with GAD who is hyperventilating and experiencing a panic attack, the FIRST nursing intervention is:","Administer PRN lorazepam immediately","Stay with the patient and provide calm reassurance while guiding slow breathing","Send the patient to their room to calm down alone","Call the physician immediately","2","Stay with the patient and provide calm reassurance while guiding slow breathing","During a panic attack: stay with the patient, use a calm voice, guide diaphragmatic/slow breathing (reduces CO2 blow-off), reduce stimulation. Medication may follow if symptoms do not resolve."
"psych-nursing-mood","9","medium","A patient on antidepressants reports new-onset suicidal thoughts 2 weeks after starting fluoxetine. The nurse should FIRST:","Reassure the patient that this is a known side effect and will pass","Immediately discontinue the fluoxetine","Conduct a full suicide risk assessment and notify the prescriber","Document the complaint and monitor for 24 hours","3","Conduct a full suicide risk assessment and notify the prescriber","SSRIs carry an FDA black box warning for increased suicidality in young adults and children in the early treatment period. A full risk assessment and immediate prescriber notification are required."
"psych-nursing-mood","10","medium","Which nursing intervention BEST promotes self-efficacy in a patient recovering from depression?","Completing tasks for the patient to reduce frustration","Assisting with tasks only as needed, praising small achievements","Reminding the patient frequently of the severity of their illness","Encouraging the patient to compare themselves to peers who have recovered","2","Assisting with tasks only as needed, praising small achievements","Self-efficacy improves when patients accomplish meaningful tasks independently. The nurse should foster independence at the patient's current ability level and provide genuine positive reinforcement."
"psych-nursing-mood","11","medium","A patient prescribed valproate asks about contraception. The nurse's BEST response is:","""Valproate is safe in pregnancy — no precautions needed.""","""You should discuss highly effective contraception with your doctor, as valproate is teratogenic.""","""Barrier contraception is sufficient.""","""Valproate reduces efficacy of oral contraceptives — use other methods.""","2","""You should discuss highly effective contraception with your doctor, as valproate is teratogenic.""","Valproate is a Category X teratogen. Women of childbearing age must be counselled about effective contraception and the risk of neural tube defects before prescribing."
"psych-nursing-mood","12","easy","The nurse teaches a patient with bipolar disorder about early warning signs of a manic episode. Which sign should the patient be MOST alert to?","Increased appetite and weight gain","Decreased need for sleep without feeling tired","Increased sadness and crying","Social withdrawal","2","Decreased need for sleep without feeling tired","Decreased sleep need (feeling rested after 3–4 hours) is one of the earliest and most reliable warning signs of an impending manic episode. Patients should report this promptly to their care team."
"psych-nursing-mood","13","easy","A patient with depression is preparing for discharge. The nurse's MOST important teaching point regarding antidepressants is:","""Stop the medication once you feel better.""","""Continue taking your medication even when you feel well; discontinuing abruptly causes withdrawal and relapse.""","""You can share your medication with family members who seem depressed.""","""Antidepressants are addictive and should be used for as short a time as possible.""","2","""Continue taking your medication even when you feel well; discontinuing abruptly causes withdrawal and relapse.""","SSRIs should be continued for 6–12 months after remission (or longer for recurrent depression). Abrupt discontinuation causes withdrawal and relapse. Medication adherence education is critical at discharge."
"psych-nursing-mood","14","medium","For a patient experiencing severe anxiety with palpitations and shortness of breath, the nurse should FIRST rule out:","Personality disorder","Malingering","Medical causes (cardiac, thyroid, hypoglycaemia)","Social stressor","3","Medical causes (cardiac, thyroid, hypoglycaemia)","Medical emergencies (MI, PE, thyroid storm, hypoglycaemia) can mimic anxiety attacks. The nurse must conduct a physical assessment and obtain vital signs before attributing symptoms to psychological causes."
"psych-nursing-mood","15","medium","Which statement indicates that a patient with OCD understands their treatment?","""The medication will cure my OCD completely.""","""I need to practise facing my fears gradually without doing my rituals.""","""If I relax enough, my obsessions will go away.""","""Once I stop my rituals, the obsessions will immediately disappear.""","2","""I need to practise facing my fears gradually without doing my rituals.""","ERP (exposure and response prevention) requires the patient to face feared triggers while refraining from rituals — the core skill. This understanding is critical for treatment adherence."
"psych-nursing-mood","16","medium","A patient with social anxiety is preparing to return to work. Which nursing intervention is MOST helpful?","Advise the patient to avoid all social situations at work initially","Role-play workplace social interactions in a safe nursing environment","Prescribe a benzodiazepine for regular use at work","Tell the patient anxiety will disappear with time","2","Role-play workplace social interactions in a safe nursing environment","Role-play (behavioural rehearsal) is a CBT technique that builds social skills and confidence in a safe environment, directly preparing the patient for real-world situations."
"psych-nursing-mood","17","medium","The nurse observes a patient with depression who has recently given away personal belongings and is calm and smiling after days of distress. The nurse should IMMEDIATELY:","Celebrate the improvement in mood","Perform a suicide risk assessment","Arrange a family meeting","Reduce the level of observation","2","Perform a suicide risk assessment","""Giving away possessions"" and sudden calmness after distress are red flags for imminent suicide (the patient may have resolved to act). Do NOT reduce observation — immediately assess suicidality."
"psych-nursing-mood","18","easy","A patient with PTSD is triggered by a nurse's raised voice during handover. The BEST response is:","""I\'m sorry, please calm down.""","""I understand this may have been distressing. Let\'s find a quiet space and I\'ll explain what happened.""","""This is a psychiatric unit — you need to manage these reactions.""","""You weren\'t in any danger — there\'s nothing to worry about.""","2","""I understand this may have been distressing. Let\'s find a quiet space and I\'ll explain what happened.""","Trauma-informed care: acknowledge the patient's response non-judgementally, reduce stimulation, and provide safety and explanation. Minimising or dismissing the patient's response is retraumatising."
"psych-nursing-mood","19","easy","Which nursing assessment question BEST evaluates the effectiveness of an antidepressant?","""Have you had any side effects?""","""Are you sleeping, eating, and engaging in activities more than before treatment started?""","""Do you feel the medication is working?""","""Have your blood levels been checked?""","2","""Are you sleeping, eating, and engaging in activities more than before treatment started?""","Antidepressant effectiveness is measured by objective improvements in neurovegetative symptoms (sleep, appetite, energy, concentration) and functional engagement — not patient perception alone."
"psych-nursing-mood","20","medium","A patient with cyclothymia is preparing for discharge. The nurse should teach the patient that:","Cyclothymia always progresses to bipolar I disorder","Regular sleep, avoiding alcohol, and mood charting can help manage symptoms","No treatment is needed as cycles resolve spontaneously","Antidepressants are the mainstay of treatment","2","Regular sleep, avoiding alcohol, and mood charting can help manage symptoms","Lifestyle measures (regular sleep, sobriety, stress management) and mood monitoring are key self-management skills in cyclothymia. ~15–50% develop bipolar I or II — early education helps recognition."
"psych-nursing-mood","21","medium","A nurse uses the Columbia Suicide Severity Rating Scale (C-SSRS). This tool measures:","Depression severity only","Suicidal ideation intensity and behaviour, including plans and intent","Anxiety levels in suicidal patients","Risk of harm to others","2","Suicidal ideation intensity and behaviour, including plans and intent","The C-SSRS is a validated structured interview measuring ideation (passive to active with intent and plan) and behaviour (preparatory acts, attempts) — widely used for standardised suicide risk assessment."
"psych-nursing-mood","22","easy","A patient on lithium therapy develops diarrhoea, vomiting, and coarse tremor. The nurse should FIRST:","Administer PRN antiemetic","Withhold lithium and contact the physician — check serum lithium level urgently","Encourage oral fluids and reassess in 2 hours","Document as expected side effects","2","Withhold lithium and contact the physician — check serum lithium level urgently","Diarrhoea/vomiting + coarse tremor = signs of lithium toxicity. Lithium must be withheld immediately (vomiting reduces renal clearance, worsening toxicity) and serum levels urgently checked."
"psych-nursing-mood","23","easy","Which nursing intervention is MOST effective in reducing relapse in bipolar disorder?","Telling the patient to take medication only when symptomatic","Psychoeducation about early warning signs, medication adherence, and regular sleep patterns","Encouraging the patient to manage stress independently without professional help","Reducing all social engagement to prevent overstimulation","2","Psychoeducation about early warning signs, medication adherence, and regular sleep patterns","Psychoeducation (mood episodes, triggers, early signs) combined with medication adherence and regular sleep are the strongest predictors of relapse prevention in bipolar disorder."
"psych-nursing-mood","24","easy","A patient on sertraline for 3 weeks asks to stop because ""it's not working."" The BEST nursing response is:","""You\'re right — let\'s discuss alternatives with the doctor.""","""SSRIs take 4–6 weeks for full effect. Let\'s review any improvements so far and discuss concerns with the prescriber.""","""It takes at least 6 months — you must stay on it.""","""You should decide about your own medication.""","2","""SSRIs take 4–6 weeks for full effect. Let\'s review any improvements so far and discuss concerns with the prescriber.""","SSRIs take 4–6 weeks for full effect. The nurse should provide accurate education, acknowledge concerns, review any partial improvements, and involve the prescriber in a shared decision."
"psych-nursing-mood","25","medium","A patient with anorexia nervosa and comorbid depression is refusing all food. The PRIORITY nursing concern is:","Deficient knowledge about nutrition","Risk for suicide due to depression","Imbalanced nutrition: less than body requirements with physiological risk","Disturbed body image","3","Imbalanced nutrition: less than body requirements with physiological risk","In anorexia with total food refusal, the physiological risk (electrolyte imbalance, cardiac arrhythmia, refeeding syndrome risk) is the immediate life-threatening priority over psychosocial diagnoses."
"psych-nursing-psychosis","1","easy","A patient with schizophrenia on haloperidol develops fever, rigidity, and altered consciousness. The nurse's FIRST action is:","Administer the next dose of haloperidol as scheduled","Withhold haloperidol, call the physician immediately, and obtain vital signs","Administer PRN benzodiazepine for agitation","Document as probable viral illness and monitor","2","Withhold haloperidol, call the physician immediately, and obtain vital signs","Fever + rigidity + altered consciousness = suspect NMS. This is a medical emergency. Stop the antipsychotic immediately and notify the physician urgently."
"psych-nursing-psychosis","2","easy","When teaching a patient about clozapine, which point is MOST critical?","""Take it on an empty stomach for best absorption.""","""You must have regular blood tests to monitor your white cell count.""","""You can stop it if you feel well for 6 months.""","""Clozapine has no significant side effects compared to other antipsychotics.""","2","""You must have regular blood tests to monitor your white cell count.""","Clozapine requires mandatory blood monitoring for agranulocytosis. Failure to attend blood tests results in treatment suspension. This is the single most critical teaching point."
"psych-nursing-psychosis","3","easy","A patient on risperidone reports their muscles feel stiff and they are walking slowly. The nurse recognises this as:","Tardive dyskinesia","Neuroleptic malignant syndrome","Parkinsonism (EPS)","Akathisia","3","Parkinsonism (EPS)","Antipsychotic-induced parkinsonism: tremor, bradykinesia, rigidity — due to D2 blockade in the nigrostriatal pathway. Distinct from acute dystonia and akathisia."
"psych-nursing-psychosis","4","medium","The nurse administers haloperidol IM for acute agitation. Which is the MOST important post-injection assessment?","Pain at injection site","Blood pressure and level of consciousness","Appetite","Skin integrity","2","Blood pressure and level of consciousness","IM haloperidol can cause hypotension and sedation, particularly in agitated patients (who may already be haemodynamically stressed or have had alcohol). BP and LOC must be monitored."
"psych-nursing-psychosis","5","medium","A patient with psychosis insists that television is controlling their thoughts. The BEST nursing response is:","""I understand you believe that. The television is actually not sending messages.""","""That must be frightening. I\'m here with you — you\'re safe.""","""That can\'t be true — let\'s test it by turning off the TV.""","""You\'re having those thoughts because you forgot your medication.""","2","""That must be frightening. I\'m here with you — you\'re safe.""","The nurse should acknowledge the patient's emotional experience (fear, distress) without reinforcing or arguing about the delusion. Safety and empathy come first; confrontation escalates."
"psych-nursing-psychosis","6","easy","Which nursing intervention BEST supports medication adherence in a patient with schizophrenia?","Giving the patient a written list of all side effects at discharge","Psychoeducation about the illness and medication, plus long-acting injectable option for non-adherent patients","Threatening the patient with hospitalisation if they miss doses","Giving medication without explanation to reduce anxiety about side effects","2","Psychoeducation about the illness and medication, plus long-acting injectable option for non-adherent patients","Psychoeducation improves insight and adherence. LAIs remove the need for daily decision-making. Involving the patient in treatment decisions is the most effective adherence strategy."
"psych-nursing-psychosis","7","easy","A patient on clozapine reports a sore throat and fever. The nurse should:","Advise rest and fluids for 48 hours","Obtain urgent FBC and withhold clozapine pending results","Continue clozapine and prescribe throat lozenges","Reassure the patient that this is a common cold","2","Obtain urgent FBC and withhold clozapine pending results","Sore throat + fever on clozapine = possible agranulocytosis. An urgent FBC must be obtained immediately. Clozapine must be withheld until results confirm adequate WBC/neutrophil count."
"psych-nursing-psychosis","8","medium","Which nursing action BEST promotes reality orientation for a patient experiencing active hallucinations?","Go along with the hallucinations to reduce distress","Avoid discussing hallucinations entirely","Acknowledge the patient\'s experience while consistently and calmly sharing your own reality","Restrain the patient to prevent responding to hallucinations","3","Acknowledge the patient\'s experience while consistently and calmly sharing your own reality","Reality orientation: engage with the patient's distress empathetically while consistently (not aggressively) presenting shared reality. Denial or complete avoidance is less effective than collaborative engagement."
"psych-nursing-psychosis","9","medium","A patient with schizoaffective disorder is started on both lithium and olanzapine. The nurse should monitor for:","Lithium increasing olanzapine levels causing EPS","Enhanced sedation, weight gain, and lithium toxicity signs","Reduced lithium efficacy due to olanzapine interactions","No clinically significant interactions exist between these agents","2","Enhanced sedation, weight gain, and lithium toxicity signs","Combined lithium + antipsychotic therapy: monitor for additive CNS depression/sedation, metabolic effects of olanzapine, and lithium toxicity signs. Olanzapine may slightly increase lithium levels."
"psych-nursing-psychosis","10","easy","A patient with schizophrenia is to be discharged home. Which discharge plan element is MOST important for relapse prevention?","A written list of all psychiatric diagnoses","Education about early relapse warning signs, medication access, and clear crisis contact details","A signed agreement to attend all future appointments","A detailed written schedule for every hour of the day","2","Education about early relapse warning signs, medication access, and clear crisis contact details","Relapse prevention relies on insight into warning signs (prodromal symptoms), medication continuity, and knowing who to contact in crisis. These have the strongest evidence for reducing readmission."
"psych-nursing-psychosis","11","medium","Olanzapine is prescribed for an agitated patient in the emergency department. Which patient history MOST warrants additional caution?","Known allergy to penicillin","Type 2 diabetes mellitus","History of knee replacement","Mild hypertension on amlodipine","2","Type 2 diabetes mellitus","Olanzapine significantly impairs glucose metabolism and is associated with new-onset diabetes and worsening glycaemic control. Use with extra caution in patients with pre-existing diabetes."
"psych-nursing-psychosis","12","medium","The nurse is assessing a patient for tardive dyskinesia. Which body areas should be examined?","Hands and feet only","Face (tongue, lips, jaw), trunk, and extremities","Eyes and neck only","Trunk only","2","Face (tongue, lips, jaw), trunk, and extremities","TD most commonly affects the orofacial region (tongue writhing, lip-smacking, jaw movements) but can also involve trunk and extremities. The AIMS scale is used for standardised assessment."
"psych-nursing-psychosis","13","medium","A patient experiencing command hallucinations (voices telling them to harm others) should:","Be counselled to ignore the voices and go home","Be assessed for imminent danger and placed on appropriate observation level with physician notification","Be reassured that voices cannot make them do anything","Be started on a new antipsychotic without further assessment","2","Be assessed for imminent danger and placed on appropriate observation level with physician notification","Command hallucinations carry elevated risk of violence or self-harm, especially if the patient has a history of acting on them, feels compelled to obey, or cannot identify safety resources. Urgent risk assessment is required."
"psych-nursing-psychosis","14","easy","A patient on quetiapine complains of extreme drowsiness after the morning dose. The BEST nursing suggestion is:","""You will get used to it — continue as prescribed.""","""Discuss taking the full dose at bedtime with your doctor to reduce daytime sedation.""","""Stop the morning dose — you only need the evening dose.""","""The drowsiness means it\'s working — it\'s beneficial.""","2","""Discuss taking the full dose at bedtime with your doctor to reduce daytime sedation.""","Quetiapine is highly sedating. Dosing adjustments (e.g. consolidating to bedtime dosing) can reduce daytime sedation without compromising efficacy — but changes must go through the prescriber."
"psych-nursing-psychosis","15","easy","Which nursing action is MOST appropriate when a patient on antipsychotic therapy is found unresponsive?","Administer the next scheduled antipsychotic dose","Call for assistance, assess airway, breathing, and circulation","Assume medication overdose and administer activated charcoal","Reposition the patient and monitor every 30 minutes","2","Call for assistance, assess airway, breathing, and circulation","An unresponsive patient requires immediate ABC assessment (airway, breathing, circulation) and activation of the emergency response. This takes priority over all other considerations."
"psych-nursing-psychosis","16","easy","The nurse teaches a patient about extrapyramidal side effects of antipsychotics. Which symptom should prompt the patient to seek IMMEDIATE care?","Mild drowsiness","Difficulty sleeping","Sudden-onset neck twisting or eye rolling upward","Dry mouth","3","Sudden-onset neck twisting or eye rolling upward","Acute dystonic reactions (torticollis, oculogyric crisis) are painful and frightening. They respond rapidly to anticholinergics but require immediate attention. Patients must know this is treatable."
"psych-nursing-psychosis","17","hard","A patient is prescribed an antipsychotic that requires QTc monitoring. Which antipsychotic is MOST likely involved?","Aripiprazole","Ziprasidone","Risperidone","Olanzapine","2","Ziprasidone","Ziprasidone has the highest QTc-prolonging risk among commonly used atypicals. Baseline and follow-up ECG is required. IV haloperidol also prolongs QTc significantly."
"psych-nursing-psychosis","18","easy","A patient in an acute psychotic episode becomes increasingly agitated and begins throwing furniture. The nurse's FIRST priority is:","Attempt to reason verbally with the patient alone","Remove other patients and bystanders from the area and call for backup","Physically restrain the patient immediately","Administer PRN medication without assessment","2","Remove other patients and bystanders from the area and call for backup","Safety of other patients and staff is the first priority. Remove bystanders, call for backup, and clear the area before any attempt at intervention. Solo restraint is dangerous."
"psych-nursing-psychosis","19","easy","The nurse notes that a patient with schizophrenia has flat affect, poverty of speech, and avolition. These are examples of:","Positive symptoms requiring higher antipsychotic doses","Negative symptoms that may not respond as well to typical antipsychotics","Side effects of antipsychotic medication only","Symptoms indicating the need for ECT","2","Negative symptoms that may not respond as well to typical antipsychotics","Flat affect, alogia (poverty of speech), and avolition are negative symptoms — often more functionally disabling than positive symptoms and less responsive to typical (D2-only) antipsychotics."
"psych-nursing-psychosis","20","easy","A patient on long-term antipsychotics develops lip-smacking and repetitive tongue movements. The nurse recognises this as:","Parkinsonian tremor","Tardive dyskinesia","Acute dystonia","Akathisia","2","Tardive dyskinesia","Orofacial movements (lip-smacking, tongue movements, chewing) in a patient on long-term antipsychotics = tardive dyskinesia. Distinct from acute EPS, TD develops with chronic exposure."
"psych-nursing-psychosis","21","easy","Psychoeducation for a patient with psychosis should include which information?","Their precise DSM diagnosis and prognosis statistics","Early warning signs of relapse, medication purpose and effects, and local support resources","Detailed pharmacological mechanisms of their medication","Only information the patient specifically requests","2","Early warning signs of relapse, medication purpose and effects, and local support resources","Effective psychoeducation covers: understanding the illness, recognising relapse signs, medication benefits and side effects, and available support. This improves insight, adherence, and outcomes."
"psych-nursing-psychosis","22","easy","A patient refuses to take antipsychotic medication because ""it makes me feel like a zombie."" The nurse's BEST response is:","""The medication is necessary and you must take it.""","""Let\'s discuss your concerns with the prescriber — there may be other options or dose adjustments that can help.""","""Side effects are temporary — you\'ll get used to them.""","""Without the medication, you\'ll be hospitalised again.""","2","""Let\'s discuss your concerns with the prescriber — there may be other options or dose adjustments that can help.""","Engaging the patient's concerns collaboratively and involving the prescriber promotes therapeutic alliance and shared decision-making. Coercion reduces trust and long-term adherence."
"psych-nursing-psychosis","23","easy","Which statement about antipsychotic depot (long-acting injectable) medication is CORRECT?","Depot injections are only used for treatment-resistant schizophrenia","Depot injections allow a stable blood level and remove daily medication decisions, improving adherence","Depot injections have more side effects than oral antipsychotics","Depot injections require weekly blood tests","2","Depot injections allow a stable blood level and remove daily medication decisions, improving adherence","LAI antipsychotics: given every 2–4 weeks, they provide stable plasma levels, confirm medication delivery, and eliminate the issue of daily oral adherence. They are suitable for any patient who prefers them."
"psych-nursing-psychosis","24","medium","A patient with schizophrenia is started on clozapine after two failed antipsychotic trials. At what interval should the FBC be checked in the first 6 months?","Daily","Weekly","Monthly","Every 3 months","2","Weekly","Clozapine monitoring protocol: weekly FBC for first 18 weeks (some guidelines 26 weeks), then every 2 weeks until 1 year, then monthly. The exact schedule varies by country but weekly initially is standard."
"psych-nursing-personality","1","easy","A patient with BPD is admitted following a self-harm episode and immediately begins praising the night nurse and criticising the day nurse. The nurse recognises this as:","Genuine feedback about care quality","Splitting — a primitive defence mechanism common in BPD","Malingering","Transference unrelated to the diagnosis","2","Splitting — a primitive defence mechanism common in BPD","Splitting in BPD: people are idealised or devalued without ambivalence. The nurse should maintain consistent, boundaried behaviour and discuss observations in team supervision."
"psych-nursing-personality","2","medium","A patient with BPD threatens to cut themselves unless the nurse stays beyond their shift. The BEST nursing response is:","Stay with the patient as their safety requires it","Call the handover nurse and ensure safe transition of care, maintaining boundaries","Tell the patient they are being manipulative","Ignore the threat to extinguish the behaviour","2","Call the handover nurse and ensure safe transition of care, maintaining boundaries","Consistency and boundaries are therapeutic in BPD. The nurse should ensure safe care transition without rewarding boundary-violation with extra attention or capitulation. Safety is documented and handed over."
"psych-nursing-personality","3","medium","The nursing care approach for a patient with antisocial personality disorder should emphasise:","Providing excessive warmth and validation to build rapport","Consistent, firm boundaries with clear consequences for rule violations","Allowing the patient to take a leadership role in the ward","Avoiding confrontation about rule-breaking to prevent escalation","2","Consistent, firm boundaries with clear consequences for rule violations","ASPD: limit-setting, consistent boundaries, and clear consequences are most therapeutic. Excessive warmth or permissiveness enables manipulation; avoiding confrontation does not support therapeutic change."
"psych-nursing-personality","4","medium","A patient with narcissistic PD demands to see the senior consultant immediately, claiming the ward nurses are incompetent. The nurse should:","Immediately escalate to the consultant to avoid conflict","Listen respectfully, acknowledge concerns, and explain the appropriate process for raising issues","Tell the patient their behaviour is inappropriate and walk away","Apologise and arrange immediate senior review regardless of clinical need","2","Listen respectfully, acknowledge concerns, and explain the appropriate process for raising issues","Respect, calm, and transparent process acknowledgement reduces escalation. Neither capitulating (reinforces entitlement) nor dismissing (escalates) is therapeutic. Explain process without confrontation."
"psych-nursing-personality","5","easy","When caring for a patient actively intoxicated with alcohol, the nurse's PRIORITY assessment is:","Social history and drinking patterns","Current level of consciousness and vital signs","The patient\'s mood and affect","Future detoxification plans","2","Current level of consciousness and vital signs","Acute intoxication: assess LOC, respiratory rate, and vital signs first — there is a risk of aspiration, respiratory depression, and injury. Physical safety precedes psychosocial assessment."
"psych-nursing-personality","6","medium","A patient undergoing alcohol detoxification has a CIWA-Ar score of 22. The nurse should:","Reassure and monitor hourly","Administer the next PRN diazepam dose and escalate to the physician","Increase oral fluids only","Prepare for discharge to a community detox programme","2","Administer the next PRN diazepam dose and escalate to the physician","CIWA-Ar ≥15 indicates moderate-severe alcohol withdrawal requiring benzodiazepine intervention. Score of 22 is high — administer PRN benzodiazepine and notify the physician for possible IV treatment."
"psych-nursing-personality","7","medium","A patient receiving methadone for opioid use disorder reports severe pain and requests extra methadone. The nurse should:","Administer an extra dose of methadone for the patient\'s comfort","Assess the pain fully, document, and inform the prescriber — do not alter the methadone dose without an order","Refuse without explanation","Assume the patient is drug-seeking and document drug-seeking behaviour","2","Assess the pain fully, document, and inform the prescriber — do not alter the methadone dose without an order","Methadone dosing is strictly prescribed and documented. The nurse must assess and report pain appropriately. Assumptions of ""drug-seeking"" without assessment are stigmatising and violate standards of care."
"psych-nursing-personality","8","medium","Which nursing intervention BEST supports a patient with BPD who is in emotional distress?","Leave them alone to calm down without reinforcing distress","Validate their emotions while maintaining boundaries and offering coping skills from their DBT plan","Call security to prevent self-harm","Promise to remain their nurse indefinitely if they calm down","2","Validate their emotions while maintaining boundaries and offering coping skills from their DBT plan","Validation + consistent boundaries + DBT skills (distress tolerance) are the evidence-based approach for BPD emotional dysregulation. Abandonment (leaving alone) or promises beyond professional scope are harmful."
"psych-nursing-personality","9","easy","A patient with a history of IV drug use is admitted with suspected infective endocarditis. The nurse's PRIORITY is:","Drug counselling immediately on admission","IV access, vital signs, blood cultures, and antibiotic administration per protocol","Contacting social services about housing","Completing an addiction severity index","2","IV access, vital signs, blood cultures, and antibiotic administration per protocol","Suspected infective endocarditis is a medical emergency. IV access, vital signs, cultures, and antibiotics are the immediate medical priorities. Addiction support follows once the patient is medically stable."
"psych-nursing-personality","10","hard","The nurse is completing a brief intervention using FRAMES for a patient with hazardous alcohol use. Which component does FRAMES NOT include?","Feedback about personal risk","Responsibility of the patient for change","Abstinence as the only goal","Empathy from the clinician","3","Abstinence as the only goal","FRAMES: Feedback, Responsibility, Advice, Menu of options, Empathy, Self-efficacy. It does not mandate abstinence — the menu of options includes moderation. The patient sets their own goals."
"psych-nursing-personality","11","easy","Harm reduction approaches to substance use include which of the following?","Mandatory abstinence before any support is offered","Needle exchange programmes and naloxone provision","Criminal prosecution as a deterrent","Withdrawal without medication support","2","Needle exchange programmes and naloxone provision","Harm reduction: meets people where they are, reduces death and disease without requiring abstinence. Needle exchange reduces blood-borne virus transmission; naloxone prevents overdose death."
"psych-nursing-personality","12","medium","A nurse observes a patient with dependent PD has done all their laundry for another patient to ""avoid conflict."" The MOST therapeutic response is:","Praise the patient for their helpfulness","Explore with the patient how they felt and what they could have said instead","Confront the other patient about taking advantage","Ignore the behaviour as it is within the patient\'s autonomy","2","Explore with the patient how they felt and what they could have said instead","Dependent PD: the therapeutic goal is building assertiveness and self-advocacy. Exploring feelings and generating alternative responses (without blame) builds insight and skills."
"psych-nursing-personality","13","medium","Naloxone (Narcan) is administered for opioid overdose. After administration, the nurse should EXPECT:","Gradual improvement over 1–2 hours","Rapid reversal of respiratory depression, possibly precipitating acute withdrawal","Permanent cessation of opioid effect","Cardiac arrhythmia as a common adverse effect","2","Rapid reversal of respiratory depression, possibly precipitating acute withdrawal","Naloxone acts within 2–5 minutes, rapidly reversing sedation and respiratory depression. It may precipitate acute withdrawal (agitation, vomiting, hypertension). Duration is shorter than most opioids — redosing may be needed."
"psych-nursing-personality","14","easy","A patient with a personality disorder is resistant to the treatment plan. The MOST helpful nursing response is:","Enforce the plan for the patient\'s own good","Explore the patient\'s concerns and collaboratively adjust the plan where possible","Document non-compliance and plan for discharge","Reduce patient involvement in care planning to decrease conflict","2","Explore the patient\'s concerns and collaboratively adjust the plan where possible","Collaborative care planning (exploring resistance, adjusting goals with the patient) improves engagement. Autonomy and shared decision-making are especially important in PD care."
"psych-nursing-personality","15","medium","A patient with borderline PD is in dialectical behaviour therapy. The nurse reinforces which core DBT skill when they say ""pause before you react — notice the urge""?","Interpersonal effectiveness","Mindfulness (observe and describe without judgement)","Distress tolerance","Emotion regulation","2","Mindfulness (observe and describe without judgement)","""Pause, notice the urge"" = mindfulness — the foundational DBT skill of observing internal experiences without immediately reacting. All other DBT modules build on mindfulness."
"psych-nursing-personality","16","medium","A patient with alcohol use disorder states: ""I've tried to cut back before but always end up drinking more."" Which motivational interviewing response is MOST appropriate?","""You need to commit to abstinence this time.""","""It sounds like this has been really difficult. What has helped even a little in the past?""","""Relapse is a sign you haven\'t tried hard enough.""","""Have you considered a rehabilitation programme?""","2","""It sounds like this has been really difficult. What has helped even a little in the past?""","MI: explore ambivalence empathetically. Elicit ""change talk"" by asking about what's helped before — this builds self-efficacy. Confrontation or directives undermine motivation."
"psych-nursing-personality","17","easy","Which medication is used for alcohol relapse prevention by causing a disulfiram-like reaction with alcohol?","Naltrexone","Acamprosate","Disulfiram","Buprenorphine","3","Disulfiram","Disulfiram inhibits aldehyde dehydrogenase. If alcohol is consumed, acetaldehyde accumulates → flushing, nausea, tachycardia, hypotension. Used as a deterrent with full patient consent."
"psych-nursing-personality","18","hard","Acamprosate reduces alcohol cravings primarily by:","Blocking opioid reward","Causing aversive reaction with alcohol","Modulating GABA and NMDA glutamate activity to reduce protracted withdrawal symptoms","Increasing serotonin levels","3","Modulating GABA and NMDA glutamate activity to reduce protracted withdrawal symptoms","Acamprosate restores the GABA/glutamate imbalance caused by chronic alcohol use, reducing protracted abstinence syndrome symptoms (anxiety, insomnia, craving) that drive relapse."
